Part,Quantity,Link,Unit Price (USD),Total (USD),
Seeed Studio XIAO RP2040,1,https://blueprint.hackclub.com/hackpad/parts,-,-
MX-Style Switches,9,https://blueprint.hackclub.com/hackpad/parts,-,-
EC11 Rotary Encoders,2,https://blueprint.hackclub.com/hackpad/parts,-,-
Through-hole 1N4148 Diodes,11,https://blueprint.hackclub.com/hackpad/parts,-,-
0.91 Inch OLED,1,https://blueprint.hackclub.com/hackpad/parts,-,-
White DSA Keycaps,9,https://blueprint.hackclub.com/hackpad/parts,-,-
M3x16mm screws,4,https://blueprint.hackclub.com/hackpad/parts,-,-
Rotary Encoder Knob (Black),2,https://tinyurl.com/4sn9sh9n,2.25,4.5 (shipping not included)
